[2024-10-23T00:15:45.839+0000] {processor.py:186} INFO - Started process (PID=3836) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-10-23T00:15:45.840+0000] {processor.py:914} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-10-23T00:15:45.843+0000] {logging_mixin.py:190} INFO - [2024-10-23T00:15:45.842+0000] {dagbag.py:588} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-10-23T00:15:46.155+0000] {processor.py:925} INFO - DAG(s) 'dataset_produces_2', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_unknown_never_scheduled', 'dataset_consumes_1_and_2', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'dataset_produces_1', 'consume_1_or_2_with_dataset_expressions', 'dataset_consumes_1_never_scheduled', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-10-23T00:15:46.220+0000] {logging_mixin.py:190} INFO - [2024-10-23T00:15:46.220+0000] {dag.py:3239} INFO - Sync 10 DAGs
[2024-10-23T00:15:46.248+0000] {logging_mixin.py:190} INFO - [2024-10-23T00:15:46.248+0000] {dag.py:4180} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-10-16 01:00:00+00:00, run_after=2024-10-16 01:00:00+00:00
[2024-10-23T00:15:46.251+0000] {logging_mixin.py:190} INFO - [2024-10-23T00:15:46.251+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-10-23T00:15:46.252+0000] {logging_mixin.py:190} INFO - [2024-10-23T00:15:46.252+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-10-23T00:15:46.253+0000] {logging_mixin.py:190} INFO - [2024-10-23T00:15:46.253+0000] {dag.py:4180} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-10-23T00:15:46.254+0000] {logging_mixin.py:190} INFO - [2024-10-23T00:15:46.254+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-10-23T00:15:46.255+0000] {logging_mixin.py:190} INFO - [2024-10-23T00:15:46.255+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-10-23T00:15:46.256+0000] {logging_mixin.py:190} INFO - [2024-10-23T00:15:46.256+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-10-23T00:15:46.257+0000] {logging_mixin.py:190} INFO - [2024-10-23T00:15:46.257+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-10-23T00:15:46.259+0000] {logging_mixin.py:190} INFO - [2024-10-23T00:15:46.259+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_1 to 2024-10-22 00:00:00+00:00, run_after=2024-10-23 00:00:00+00:00
[2024-10-23T00:15:46.260+0000] {logging_mixin.py:190} INFO - [2024-10-23T00:15:46.260+0000] {dag.py:4180} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-10-23T00:15:46.287+0000] {processor.py:208} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.454 seconds
